rowid,stationid,city,chinese,latitude,longitude,pm25,pm10,o3,no2 ,so2,co,useless1,useless2,useless3,useless4,useless5,useless6,time
151867,47,Shanghai,_Ù__µà,31.202842,121.453493,160,85,20,50,12,6,12,8,1015,78,2,2.01E+13,1396659600
152247,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,68,141,14,12,9,7,13,-8,1025,23,13,2.01E+13,1396666800
152718,965,Chongqing,_öçë_æ,29.560161,106.555275,149,61,4,28,10,12,15,12,1017,82,7,2.01E+13,1396674000
152771,36,Beijing,ë‘ã__Œ,39.955906,116.474246,42,28,37,5,4,9,19,-16,1020,8,7,2.01E+13,1396688400
152783,47,Shanghai,_Ù__µà,31.202842,121.453493,95,59,35,12,7,9,14,1,1019,42,8,2.01E+13,1396688401
153163,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,57,61,24,12,2,5,16,-13,1020,13,4,2.01E+13,1396695600
153634,965,Chongqing,_öçë_æ,29.560161,106.555275,132,52,6,29,5,11,14,13,1019,94,2,2.01E+13,1396702800
153687,36,Beijing,ë‘ã__Œ,39.955906,116.474246,139,107,38,20,6,3,11,-5,1021,33,0,2.01E+13,1396717200
153699,47,Shanghai,_Ù__µà,31.202842,121.453493,76,39,36,16,6,3,9,2,1025,61,1,2.01E+13,1396717200
154078,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,134,91,19,15,40,8,12,-5,1021,30,13,2.01E+13,1396724400
154548,965,Chongqing,_öçë_æ,29.560161,106.555275,122,52,10,11,9,9,14,13,1018,94,2,2.01E+13,1396731600
154601,36,Beijing,ë‘ã__Œ,39.955906,116.474246,169,111,7,35,6,3,11,-7,1021,28,2,2.01E+13,1396746000
154613,47,Shanghai,_Ù__µà,31.202842,121.453493,72,41,28,24,8,3,10,2,1025,60,1,2.01E+13,1396746000
154993,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,157,133,14,24,41,10,16,-2,1021,29,9,2.01E+13,1396749600
155463,965,Chongqing,_öçë_æ,29.560161,106.555275,153,75,13,22,37,9,15,14,1018,94,4,2.01E+13,1396760400
155516,36,Beijing,ë‘ã__Œ,39.955906,116.474246,112,89,27,8,6,3,25,-15,1014,6,13,2.01E+13,1396774800
155528,47,Shanghai,_Ù__µà,31.202842,121.453493,57,48,38,10,4,3,15,-3,1022,29,5,2.01E+13,1396774800
155908,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,152,69,26,10,7,10,22,-10,1014,11,11,2.01E+13,1396782000
156378,965,Chongqing,_öçë_æ,29.560161,106.555275,147,62,19,33,16,10,16,13,1016,82,11,2.01E+13,1396792800
156431,36,Beijing,ë‘ã__Œ,39.955906,116.474246,147,99,41,14,11,3,18,-5,1014,21,9,2.01E+13,1396803600
156443,47,Shanghai,_Ù__µà,31.202842,121.453493,74,50,38,16,6,3,11,3,1021,60,2,2.01E+13,1396803600
156823,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,155,99,23,14,13,8,14,2,1015,44,11,2.01E+13,1396810800
157293,965,Chongqing,_öçë_æ,29.560161,106.555275,122,53,8,19,10,10,14,13,1016,94,4,2.01E+13,1396821600
157346,36,Beijing,ë‘ã__Œ,39.955906,116.474246,177,106,20,24,10,3,13,1,1014,44,2,2.01E+13,1396832400
157358,47,Shanghai,_Ù__µà,31.202842,121.453493,78,30,36,15,4,3,10,8,1019,85,6,2.01E+13,1396832400
157738,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,160,116,18,17,27,9,16,1,1015,36,7,2.01E+13,1396839600
158208,965,Chongqing,_öçë_æ,29.560161,106.555275,132,61,7,20,26,11,20,13,1016,64,4,2.01E+13,1396850400
158261,36,Beijing,ë‘ã__Œ,39.955906,116.474246,171,122,26,25,12,4,25,-5,1011,13,9,2.01E+13,1396861200
158273,47,Shanghai,_Ù__µà,31.202842,121.453493,129,49,35,15,6,4,17,11,1014,66,2,2.01E+13,1396861200
158653,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,164,93,30,22,23,13,23,0,1011,22,11,2.01E+13,1396868400
159122,965,Chongqing,_öçë_æ,29.560161,106.555275,151,79,21,42,46,10,19,14,1015,73,2,2.01E+13,1396879200
159175,36,Beijing,ë‘ã__Œ,39.955906,116.474246,216,135,84,38,20,6,14,3,1014,48,7,2.01E+13,1396890000
159187,47,Shanghai,_Ù__µà,31.202842,121.453493,142,58,26,34,8,6,13,10,1015,83,3,2.01E+13,1396890000
159567,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,180,148,14,44,21,15,11,6,1015,71,2,2.01E+13,1396897200
160036,965,Chongqing,_öçë_æ,29.560161,106.555275,155,93,13,43,22,13,18,14,1015,77,2,2.01E+13,1396904400
160089,36,Beijing,ë‘ã__Œ,39.955906,116.474246,223,179,6,44,12,5,9,4,1016,71,2,2.01E+13,1396918800
160101,47,Shanghai,_Ù__µà,31.202842,121.453493,140,48,17,33,8,5,14,12,1016,89,1,2.01E+13,1396918800
160481,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,232,162,8,36,52,22,20,7,1015,43,7,2.01E+13,1396926000
160950,965,Chongqing,_öçë_æ,29.560161,106.555275,155,75,7,28,46,16,23,15,1016,61,4,2.01E+13,1396936800
161003,36,Beijing,ë‘ã__Œ,39.955906,116.474246,208,111,32,14,25,10,25,-1,1010,18,11,2.01E+13,1396947600
161015,47,Shanghai,_Ù__µà,31.202842,121.453493,158,68,30,35,13,9,20,14,1013,68,1,2.01E+13,1396947601
161394,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,157,76,37,16,10,14,26,1,1011,20,9,2.01E+13,1396954800
161863,965,Chongqing,_öçë_æ,29.560161,106.555275,139,66,31,35,14,10,21,15,1014,68,2,2.01E+13,1396965600
161916,36,Beijing,ë‘ã__Œ,39.955906,116.474246,194,120,124,24,21,6,19,3,1011,35,7,2.01E+13,1396976400
161928,47,Shanghai,_Ù__µà,31.202842,121.453493,160,59,31,20,4,6,14,13,1016,91,2,2.01E+13,1396976400
162308,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,172,93,24,18,13,12,18,9,1011,56,9,2.01E+13,1396983600
162776,965,Chongqing,_öçë_æ,29.560161,106.555275,149,76,2,25,14,13,17,15,1013,88,7,2.01E+13,1396994400
162829,36,Beijing,ë‘ã__Œ,39.955906,116.474246,232,119,26,53,14,4,14,8,1010,67,7,2.01E+13,1397005200
162841,47,Shanghai,_Ù__µà,31.202842,121.453493,139,54,32,18,3,4,14,12,1017,91,2,2.01E+13,1397005200
163221,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,185,116,20,14,19,14,22,11,1010,50,13,2.01E+13,1397012400
163690,965,Chongqing,_öçë_æ,29.560161,106.555275,132,64,3,29,26,14,22,14,1013,60,4,2.01E+13,1397023200
163743,36,Beijing,ë‘ã__Œ,39.955906,116.474246,151,125,35,6,2,7,29,-9,1009,8,11,2.01E+13,1397034000
163755,47,Shanghai,_Ù__µà,31.202842,121.453493,156,77,37,21,10,7,22,13,1013,59,6,2.01E+13,1397034000
164133,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,159,96,35,23,18,15,23,10,1011,44,22,2.01E+13,1397041200
164602,965,Chongqing,_öçë_æ,29.560161,106.555275,127,72,11,41,17,13,22,15,1010,64,7,2.01E+13,1397052000
164655,36,Beijing,ë‘ã__Œ,39.955906,116.474246,215,262,38,27,23,6,16,1,1020,36,7,2.01E+13,1397062800
164667,47,Shanghai,_Ù__µà,31.202842,121.453493,154,57,33,40,6,6,13,12,1017,91,0,2.01E+13,1397062800
165047,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,166,543,20,14,9,15,14,3,1021,48,13,2.01E+13,1397070000
165516,965,Chongqing,_öçë_æ,29.560161,106.555275,137,71,2,28,13,14,20,15,1009,73,4,2.01E+13,1397080800
165569,36,Beijing,ë‘ã__Œ,39.955906,116.474246,174,446,16,28,20,5,15,0,1023,36,4,2.01E+13,1397091600
165581,47,Shanghai,_Ù__µà,31.202842,121.453493,151,54,20,40,9,5,14,12,1017,87,4,2.01E+13,1397091600
165961,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,154,169,20,19,13,14,15,-2,1024,31,9,2.01E+13,1397098800
166430,965,Chongqing,_öçë_æ,29.560161,106.555275,188,113,9,32,25,20,19,17,1012,88,2,2.01E+13,1397109600
166483,36,Beijing,ë‘ã__Œ,39.955906,116.474246,139,152,24,14,10,6,18,-8,1020,16,7,2.01E+13,1397120400
166495,47,Shanghai,_Ù__µà,31.202842,121.453493,142,66,73,24,7,6,23,3,1014,28,5,2.01E+13,1397120400
166875,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,154,149,24,38,25,15,13,-3,1020,33,7,2.01E+13,1397127600
167344,965,Chongqing,_öçë_æ,29.560161,106.555275,178,97,10,31,17,19,19,18,1009,94,2,2.01E+13,1397138400
167397,36,Beijing,ë‘ã__Œ,39.955906,116.474246,157,172,22,32,20,5,15,-3,1021,29,4,2.01E+13,1397149200
167409,47,Shanghai,_Ù__µà,31.202842,121.453493,153,56,35,21,6,5,13,11,1016,87,5,2.01E+13,1397149200
